Daten_OOS,Daten,comp,targ,bench,bint,rank
2020_JAN,2020,2.07519181481157,1.7253136934601,0.16411699,0.15438432230641,2.04223185409282
2020_FEB,2020.08,1.90953793226991,1.65797970063968,0.13228545,0.152746437148367,1.70333358813635
2020_MAR,2020.17,1.46953768574107,1.14777479404795,0.10480038,0.151332198684857,1.75828581990407
2020_APR,2020.25,1.60805529550956,0.442143966832309,0.12799326,0.152525583419754,1.78945946118014
2020_MAY,2020.33,1.38032561094399,0.463092759986616,0.13208628,0.152736188898143,1.84657857167854
2020_JUN,2020.42,1.20554263454358,0.723783383399845,0.16236812,0.154294334570462,1.6003128079052
2020_JUL,2020.5,0.96382011799625,0.909073358294155,0.13331397,0.152799359427426,1.56085149530052
2020_AUG,2020.58,1.20913542675205,1.17391723777822,0.13736928,0.153008024545741,1.24358069152248
2020_SEP,2020.67,1.15875368631631,1.26574956429899,0.10074675,0.151123620010586,1.17906669466443
2020_OCT,2020.75,1.72381047065484,1.14418238234741,0.11252789,0.151729816077469,1.18046959352429
2020_NOV,2020.83,1.53447288398614,1.15454126072909,0.0947362,0.150814348431622,1.2497689029408
2020_DEC,2020.92,1.79883995670236,1.32589376004797,0.14408621,0.1533536427582,2.31373532207952
2021_JAN,2021,1.68727750686506,1.59357971542482,0.14739621,0.153523958108105,1.9157087889083
2021_FEB,2021.08,2.36911145840986,1.84616561926927,0.18957589,0.155694304621123,1.98629302731415
2021_MAR,2021.17,1.38192028979849,2.66661550432954,0.08754945,0.150444555730434,1.60706140688796
2021_APR,2021.25,0.0241974745622153,3.6747353480884,-0.07401169,0.142131461443371,0.361638044136781
2021_MAY,2021.33,0.379981972441223,4.10916719654246,-0.09998344,0.14079509054038,0.66543819368905
2021_JUN,2021.42,1.39357722798035,4.33164161281101,-0.02071462,0.14487385090741,1.11546600867893
2021_JUL,2021.5,3.39858365461825,4.50537469489336,0.20590342,0.156534434223853,2.03992040600038
2021_AUG,2021.58,3.42758756792727,4.6078160324716,0.27626074,0.160154655243247,3.982614883644
2021_SEP,2021.67,3.34588809499927,4.7607714722905,0.27551635,0.160116352813242,3.85829069959076
2021_OCT,2021.75,2.18965745028175,5.36125435499715,0.18112488,0.155259459689038,2.64235194035225
2021_NOV,2021.83,1.62438004433856,5.97291518454985,0.10864573,0.151530060355781,1.7222490125955
2021_DEC,2021.92,2.07286966734623,6.17939256857019,0.1609817,0.154222996622602,1.90406841392536
2022_JAN,2022,3.42303648753359,6.30921071675195,0.24461932,0.158526552669592,2.80149731903756
2022_FEB,2022.08,3.97807135216097,6.59146621680364,0.28383438,0.160544355287553,2.39900272223186
2022_MAR,2022.17,4.07021875364468,6.96707526822973,0.31286196,0.162037963276859,3.37489076924806
2022_APR,2022.25,4.54629737294132,6.70153857351263,0.40943489,0.167007102963964,5.40506586008602
2022_MAY,2022.33,4.93910224328431,6.80137543105666,0.50903012,0.172131754458326,7.50627269134028
2022_JUN,2022.42,5.63695052961277,7.24886894905896,0.52916487,0.173167783760895,6.25100878805036
2022_JUL,2022.5,5.51260319715816,6.76000914898025,0.46893354,0.170068593415214,5.86513076752842
2022_AUG,2022.58,4.76509473941289,6.63689391402911,0.41102775,0.16708906323836,5.10840817528906
2022_SEP,2022.67,4.14071428052889,6.66079038430085,0.32598186,0.162713044956382,4.33322307528174
2022_OCT,2022.75,3.98600557287692,6.45650662653912,0.34292421,0.163584809992172,4.75037636920659
2022_NOV,2022.83,4.59501581621182,6.01829432506769,0.41302679,0.167191923418745,5.63971312488278
2022_DEC,2022.92,5.55997704876372,5.50877286243918,0.54746467,0.174109396099322,7.19603716585
2023_JAN,2023,5.87794116188831,5.5251117277187,0.54575377,0.174021362101693,6.59089598197755
2023_FEB,2023.08,6.13650812207771,5.20931544255587,0.51146894,0.172257243425594,5.87973712620042
2023_MAR,2023.17,4.47720823704263,4.42313235753395,0.43603869,0.168375995866021,6.14685739084271
2023_APR,2023.25,2.83103411645493,4.46253646585026,0.39081568,0.166049055451545,5.92796027874889
2023_MAY,2023.33,2.62524282770289,3.97950529108104,0.36061824,0.164495252563375,5.1568161906236
2023_JUN,2023.42,4.44814373590781,3.2615685361236,0.43099885,0.168116671964792,4.96534947028848
2023_JUL,2023.5,4.64723135026604,3.37384923848034,0.39334751,0.16617933022869,4.48114298503399
2023_AUG,2023.58,4.7994422234604,3.38712159114034,0.46580892,0.169907816753999,4.04840425629736
2023_SEP,2023.67,3.64061205243216,3.41634221485159,0.41646266,0.167368715382878,4.00300421459288
2023_OCT,2023.75,4.66197925592145,2.99429133152722,0.45418331,0.16930962345037,4.01330289084521
2023_NOV,2023.83,3.49949414514918,2.70171966012147,0.36311702,0.164623826759761,3.87353579712146
2023_DEC,2023.92,3.19576545295242,2.70178965385817,0.3373487,0.163297923304393,3.57870730836998
